estado,timestamp_pc,sensor_1,sensor_2,sensor_3
serial_iniciado,2026-06-11T12:13:11.370,,,
,2026-06-11T12:13:11.480,18.58,69.0,247.0
,2026-06-11T12:13:11.602,54.324,206.0,142.0
,2026-06-11T12:13:11.709,43.245,111.0,0.0
,2026-06-11T12:13:11.816,86.114,44.0,181.0
,2026-06-11T12:13:11.925,62.401,478.0,82.0
,2026-06-11T12:13:12.037,61.04,401.0,152.0
,2026-06-11T12:13:12.156,21.587,276.0,211.0
,2026-06-11T12:13:12.276,2.453,35.0,145.0
,2026-06-11T12:13:12.397,27.664,297.0,241.0
,2026-06-11T12:13:12.512,43.21,104.0,162.0
,2026-06-11T12:13:12.619,60.646,302.0,178.0
,2026-06-11T12:13:12.739,2.234,462.0,146.0
,2026-06-11T12:13:12.860,29.744,427.0,116.0
,2026-06-11T12:13:13.423,95.715,33.0,137.0
,2026-06-11T12:13:13.873,86.052,166.0,14.0
,2026-06-11T12:13:14.457,37.247,42.0,48.0
,2026-06-11T12:13:14.904,46.708,77.0,196.0
,2026-06-11T12:13:15.429,12.508,22.0,119.0
,2026-06-11T12:13:15.887,13.216,328.0,156.0
,2026-06-11T12:13:16.356,7.495,115.0,85.0
,2026-06-11T12:13:16.914,50.147,23.0,182.0
,2026-06-11T12:13:17.458,4.813,82.0,6.0
,2026-06-11T12:13:17.895,29.6,278.0,165.0
,2026-06-11T12:13:18.454,84.38,452.0,2.0
,2026-06-11T12:13:18.907,96.698,480.0,206.0
,2026-06-11T12:13:19.447,24.254,48.0,134.0
,2026-06-11T12:13:19.906,42.058,277.0,162.0
,2026-06-11T12:13:20.358,96.408,405.0,166.0
,2026-06-11T12:13:20.925,92.948,51.0,253.0
,2026-06-11T12:13:21.373,93.383,0.0,228.0
,2026-06-11T12:13:21.912,42.747,477.0,170.0
,2026-06-11T12:13:22.360,51.327,187.0,42.0
,2026-06-11T12:13:22.908,40.698,368.0,230.0
,2026-06-11T12:13:23.357,35.466,361.0,149.0
,2026-06-11T12:13:23.911,82.896,62.0,240.0
,2026-06-11T12:13:24.462,59.849,274.0,235.0
,2026-06-11T12:13:24.896,90.507,397.0,255.0
,2026-06-11T12:13:25.453,92.959,179.0,221.0
,2026-06-11T12:13:25.895,14.01,380.0,5.0
,2026-06-11T12:13:26.446,53.457,355.0,136.0
,2026-06-11T12:13:26.873,52.415,230.0,202.0
,2026-06-11T12:13:27.456,28.65,159.0,233.0
,2026-06-11T12:13:27.926,86.252,212.0,44.0
,2026-06-11T12:13:28.393,87.533,465.0,138.0
,2026-06-11T12:13:28.960,90.739,28.0,216.0
,2026-06-11T12:13:29.389,75.028,26.0,18.0
,2026-06-11T12:13:29.965,66.949,141.0,224.0
,2026-06-11T12:13:30.432,48.833,392.0,42.0
,2026-06-11T12:13:30.873,62.655,409.0,68.0
,2026-06-11T12:13:31.413,74.848,445.0,216.0
,2026-06-11T12:13:31.947,7.119,429.0,77.0
,2026-06-11T12:13:32.387,3.365,32.0,153.0
,2026-06-11T12:13:32.950,6.285,239.0,119.0
,2026-06-11T12:13:33.376,29.394,16.0,1.0
,2026-06-11T12:13:33.921,95.073,76.0,150.0
,2026-06-11T12:13:34.369,40.904,141.0,6.0
,2026-06-11T12:13:34.898,77.923,350.0,61.0
,2026-06-11T12:13:35.371,4.571,372.0,151.0
,2026-06-11T12:13:35.933,50.181,17.0,90.0
,2026-06-11T12:13:36.391,19.9,467.0,189.0
,2026-06-11T12:13:36.954,96.952,238.0,226.0
,2026-06-11T12:13:37.383,54.462,222.0,61.0
,2026-06-11T12:13:37.958,79.06,287.0,106.0
,2026-06-11T12:13:38.417,72.094,64.0,12.0
,2026-06-11T12:13:38.884,97.192,40.0,133.0
,2026-06-11T12:13:39.451,76.022,191.0,243.0
,2026-06-11T12:13:39.888,19.526,246.0,37.0
,2026-06-11T12:13:40.467,43.812,485.0,216.0
,2026-06-11T12:13:40.917,99.272,410.0,14.0
,2026-06-11T12:13:41.354,17.167,86.0,213.0
,2026-06-11T12:13:41.895,58.402,214.0,215.0
,2026-06-11T12:13:42.356,77.271,420.0,154.0
,2026-06-11T12:13:42.901,60.503,333.0,242.0
,2026-06-11T12:13:43.367,16.171,176.0,68.0
,2026-06-11T12:13:43.934,33.054,329.0,201.0
,2026-06-11T12:13:44.374,9.464,225.0,201.0
,2026-06-11T12:13:44.950,17.332,4.0,188.0
,2026-06-11T12:13:45.405,78.792,176.0,65.0
,2026-06-11T12:13:45.950,86.082,258.0,57.0
,2026-06-11T12:13:46.387,13.586,254.0,249.0
,2026-06-11T12:13:46.937,49.789,455.0,50.0
,2026-06-11T12:13:47.371,97.832,345.0,206.0
,2026-06-11T12:13:47.948,37.918,467.0,111.0
,2026-06-11T12:13:48.414,31.703,391.0,101.0
,2026-06-11T12:13:48.874,87.236,45.0,156.0
,2026-06-11T12:13:49.462,2.317,227.0,80.0
,2026-06-11T12:13:49.917,46.312,8.0,44.0
,2026-06-11T12:13:50.372,36.954,240.0,90.0
,2026-06-11T12:13:50.948,47.88,419.0,93.0
,2026-06-11T12:13:51.400,19.051,444.0,100.0
,2026-06-11T12:13:51.875,94.275,330.0,173.0
,2026-06-11T12:13:52.444,44.813,493.0,100.0
,2026-06-11T12:13:52.903,76.918,456.0,181.0
,2026-06-11T12:13:53.382,48.704,383.0,74.0
,2026-06-11T12:13:53.976,83.926,35.0,198.0
,2026-06-11T12:13:54.433,70.352,416.0,126.0
,2026-06-11T12:13:54.907,30.623,131.0,53.0
,2026-06-11T12:13:55.370,55.819,57.0,250.0
,2026-06-11T12:13:55.931,60.999,449.0,135.0
,2026-06-11T12:13:56.363,43.894,230.0,226.0
,2026-06-11T12:13:56.949,81.352,110.0,185.0
,2026-06-11T12:13:57.414,27.105,333.0,101.0
,2026-06-11T12:13:57.880,33.263,427.0,172.0
,2026-06-11T12:13:58.449,81.057,239.0,7.0
,2026-06-11T12:13:58.883,97.079,304.0,158.0
,2026-06-11T12:13:59.441,72.74,499.0,133.0
,2026-06-11T12:13:59.882,64.891,63.0,208.0
,2026-06-11T12:14:00.371,5.538,0.0,199.0
,2026-06-11T12:14:00.927,64.828,497.0,217.0
,2026-06-11T12:14:01.382,44.377,298.0,56.0
,2026-06-11T12:14:01.949,77.011,351.0,146.0
,2026-06-11T12:14:02.406,59.746,245.0,20.0
,2026-06-11T12:14:02.967,43.869,378.0,172.0
,2026-06-11T12:14:03.419,54.471,398.0,60.0
,2026-06-11T12:14:03.868,26.58,143.0,142.0
,2026-06-11T12:14:04.422,52.305,204.0,28.0
,2026-06-11T12:14:04.866,39.379,274.0,56.0
,2026-06-11T12:14:05.434,63.622,486.0,176.0
,2026-06-11T12:14:05.884,94.195,469.0,162.0
,2026-06-11T12:14:06.455,73.224,289.0,170.0
,2026-06-11T12:14:06.915,20.491,313.0,106.0
,2026-06-11T12:14:07.369,43.372,325.0,61.0
,2026-06-11T12:14:07.932,53.224,454.0,141.0
,2026-06-11T12:14:08.403,44.543,390.0,43.0
,2026-06-11T12:14:08.855,82.534,434.0,17.0
,2026-06-11T12:14:09.419,80.433,383.0,218.0
,2026-06-11T12:14:09.891,14.381,481.0,238.0
,2026-06-11T12:14:10.457,59.925,498.0,16.0
,2026-06-11T12:14:10.929,64.531,474.0,34.0
,2026-06-11T12:14:11.396,57.618,393.0,21.0
,2026-06-11T12:14:11.861,76.183,228.0,68.0
,2026-06-11T12:14:12.391,25.752,175.0,252.0
,2026-06-11T12:14:12.942,29.609,378.0,54.0
,2026-06-11T12:14:13.376,27.822,109.0,112.0
,2026-06-11T12:14:13.941,27.145,479.0,209.0
,2026-06-11T12:14:14.412,13.091,413.0,23.0
,2026-06-11T12:14:14.962,88.946,116.0,209.0
